age,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,y
25,4,0,0,0,0,6,1,2,0,0,-1.7,94.055,-39.8,0.72,4991.6,0,0,0,0,0,0,0,1,0,0,0,1,1
47,4,0,1,0,0,8,1,3,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,0,0,0,0,0,0,1,0,1
27,7,0,1,0,0,4,5,2,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,0,0,0,0,0,0,0,1,1
29,7,0,1,1,0,11,4,2,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,0,0,0,0,0,0,1,0,0,1,0
32,7,0,1,1,0,7,5,4,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,7,0,0,0,0,6,3,1,0,0,-2.9,92.963,-40.8,1.26,5076.2,0,0,0,0,0,0,0,0,1,0,1,0,1
37,7,0,1,0,1,5,2,2,0,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,1,0,0
58,6,0,0,0,1,6,5,12,0,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0
38,1,0,0,0,0,5,4,2,0,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,1,0,0,0,0,0,0,0,0,0,0,1,0
38,4,0,0,0,0,3,3,1,1,-1,-1.8,93.369,-34.8,0.655,5008.7,1,0,0,0,0,0,0,0,0,0,0,1,1
48,7,0,1,0,0,10,3,1,1,-1,-3.4,92.431,-26.9,0.74,5017.5,0,0,0,1,0,0,0,0,0,0,1,0,1
37,7,0,0,0,0,10,5,2,0,0,-3.4,92.431,-26.9,0.72,5017.5,0,0,0,0,0,0,0,0,0,0,0,1,1
56,3,0,1,0,1,8,3,7,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,0,0,0,1,0,0,0,0,1,0,0
38,4,0,0,0,0,5,5,2,0,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,1,0,0,0,0,0,0,0,0,0,0,1,0
23,6,0,1,0,0,5,5,3,1,-1,-1.8,92.89299999999999,-46.2,1.25,5099.1,1,0,0,0,0,0,0,0,0,0,0,1,0
55,4,0,0,1,0,4,3,1,1,-1,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,0,0,0,0,0,0,1,0,1
30,7,0,1,1,0,5,1,4,0,0,-1.8,92.89299999999999,-46.2,1.354,5099.1,0,0,0,0,0,0,0,0,0,0,1,0,1
38,4,0,1,0,0,7,3,5,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0
33,7,0,1,1,0,4,3,1,0,0,-1.8,93.075,-47.1,1.4980000000000002,5099.1,0,0,0,1,0,0,0,0,0,0,0,1,1
41,7,0,0,0,0,4,2,1,0,0,-1.8,93.075,-47.1,1.453,5099.1,0,0,0,0,0,0,0,0,0,0,1,0,1
50,3,0,1,0,0,4,4,2,1,-1,-1.8,93.075,-47.1,1.41,5099.1,1,0,0,0,0,0,0,0,0,0,1,0,1
47,3,0,0,0,0,5,2,1,0,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,3,0,1,0,1,6,3,4,0,0,1.4,94.465,-41.8,4.962,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,1
38,7,0,0,0,0,8,3,1,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,1,0,0,0,0,0,0,1,0,0
58,3,0,1,0,0,5,3,2,0,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,1,0,0,0,0,0,0,0,0,0,0,1,0
47,7,0,1,0,0,6,1,4,0,0,-2.9,92.963,-40.8,1.281,5076.2,0,0,0,0,0,0,0,0,0,0,0,1,1
47,7,0,0,0,0,10,1,3,0,0,-1.1,94.601,-49.5,1.0,4963.6,0,0,0,0,0,0,0,0,0,0,0,1,1
35,7,0,0,0,0,7,1,3,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,1,0,0,0,0,0,0,0,0,0,1,0
32,3,0,0,0,0,5,1,4,0,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,0,0,0,0,0,0,1,0,0
